 TIME, Mass Concentration PM1.0, Mass Concentration PM2.5, Mass Concentration PM4.0 , Mass Concentration PM10, Number Concentration PM0.5, Number Concentration PM1.0, Number Concentration PM2.5, Number Concentration PM4.0, Number Concentration PM10, Particle Size
 Wed Mar 18 21:20:51 2020,0.70130873,1.67628264,1.67628169,1.6762836,3.30502939,5.75297117,7.34741116,7.34908199,7.34994745,0.19897836
 Wed Mar 18 21:21:06 2020,1.71230364,0.9295494,0.92954886,0.92954993,4.28887463,5.17131662,2.79193187,2.79291391,2.79342246,0.20778698
 Wed Mar 18 21:21:21 2020,1.27096903,0.78146619,0.78146583,0.7814666,3.22817254,23.93526459,17.79190445,17.79748344,17.80037308,0.24461883
 Wed Mar 18 21:21:36 2020,1.96471298,1.7032392,1.70323789,1.70324039,5.83399439,3.02406979,2.29561663,2.29674363,2.54732752,0.19827032
 Wed Mar 18 21:21:51 2020,1.58213186,1.54678488,1.54678369,1.54678619,4.37103748,3.75903273,3.03049064,2.28161311,2.28219461,0.22449458
 Wed Mar 18 21:22:06 2020,1.95485818,0.92206496,0.92206436,0.92206556,3.45928741,3.00594091,2.30761576,2.30868411,2.30923748,0.20792425
 Wed Mar 18 21:22:21 2020,0.57331866,0.50240886,0.50240833,0.50240934,2.72612143,3.45644045,6.32242584,6.32423258,6.32516861,0.2076636
 Wed Mar 18 21:22:36 2020,0.81317693,0.67545891,0.67545849,0.67545933,6.95307779,4.74743223,5.21278,5.21423674,5.21499109,0.19845933
 Wed Mar 18 21:22:51 2020,0.34634566,0.28140882,0.28140852,0.28140914,4.40363455,7.97982693,5.39862442,5.40091515,5.40210199,0.16552454
 Wed Mar 18 21:23:06 2020,0.81471199,0.61458218,0.61458176,0.6145826,3.78248644,5.19711113,4.2562809,4.25774145,4.25849771,0.14921534
 Wed Mar 18 21:23:21 2020,0.93882173,0.62217033,0.62216979,0.62217081,2.49669933,6.33650112,7.87133312,7.87315512,7.87409878,0.37265432
 Wed Mar 18 21:23:36 2020,0.55215132,0.57265288,0.5726524,0.57265335,6.14766121,5.74622822,4.21636677,4.21807384,6.6564579,0.46479833
 Wed Mar 18 21:23:51 2020,1.15742898,1.69627869,1.69627786,1.69627953,2.51700687,7.33945751,6.86803293,6.86952782,6.8703022,0.37114716
 Wed Mar 18 21:24:06 2020,0.70047271,1.67451453,1.67451358,1.67451549,3.30222225,4.30883837,5.77823925,5.7799077,5.78077221,0.43009961
 Wed Mar 18 21:24:21 2020,0.94627279,0.9513939,0.95139331,0.95139444,7.15184498,6.26494551,7.80415249,7.80620337,7.80726576,0.43030941
 Wed Mar 18 21:24:36 2020,1.42453265,1.58927155,1.58927035,1.58927262,5.73688269,2.19695044,2.96619654,2.96720314,2.9677248,0.3470726
 Wed Mar 18 21:24:51 2020,1.04282296,0.69239998,0.6923995,0.69240052,3.95922327,2.9989779,3.45363235,3.45452952,3.45499444,0.25119627
 Wed Mar 18 21:25:06 2020,0.80510342,1.55016756,1.55016673,1.5501684,6.34650421,7.64903307,6.17869854,6.18025017,6.18105412,0.34747922
 Wed Mar 18 21:25:21 2020,1.93179333,1.33635616,1.33635521,1.33635712,3.71782851,3.21663737,3.95096707,3.95178199,3.95220423,0.4305203
 Wed Mar 18 21:25:36 2020,1.94309056,1.91618955,1.9161886,1.91619051,7.31965446,2.26874828,2.50430822,2.50518751,2.50564313,0.46422565
 Wed Mar 18 21:25:51 2020,1.67408025,1.92087114,1.92087018,1.92087221,7.33452129,2.27752972,2.51314163,2.51402354,2.51448059,0.46297383
 Wed Mar 18 21:26:06 2020,1.04529428,0.69370663,0.69370615,0.69370717,3.96337247,3.69137955,3.45856309,3.45946193,3.45992756,0.34726703
 Wed Mar 18 21:26:21 2020,0.68068737,1.06064904,1.06064796,1.06065011,3.20491505,7.30011892,6.77426577,6.77618265,6.7771759,0.41360199
 Wed Mar 18 21:26:36 2020,0.81865633,1.57416081,1.57415986,1.57416177,2.77933264,2.47112846,4.28633833,4.28799009,4.28884602,0.25009751
 Wed Mar 18 21:26:51 2020,0.61257052,1.92521024,1.9252094,1.92521095,2.41475058,7.674438,6.13935471,6.14078903,6.14153194,0.41400862
 Wed Mar 18 21:27:06 2020,0.51088935,1.8116312,1.81163037,1.81163216,3.54021072,7.35429382,6.82396269,6.82564545,6.82651711,0.41370082
 Wed Mar 18 21:27:21 2020,0.56387699,0.56857312,0.56857258,0.56857371,6.66467476,3.72813368,3.49756384,3.49858022,3.49910665,0.4124136
